VendorNumber,VendorName,Brand,TotalSalesQuantity,TotalSalesDollars,TotalPurchaseDollars,FreightCost,AvgSalesPrice,TargetMargin,RequiredSalesDollars,UpsideDollars,NeededPriceDeltaPerUnit
1601,VRANKEN AMERICA            ,21614,264,3165.36,824.16,4.149755161218864,11.99,0.35,1274.322700248029,0.0,0.0
1601,VRANKEN AMERICA            ,22819,78,1941.2199999999998,856.4399999999999,4.312289252419777,24.887435897435896,0.35,1324.2342911575688,0.0,0.0
1601,VRANKEN AMERICA            ,22820,64,2751.36,1220.56,6.145681857378781,42.99,0.35,1887.2395105498133,0.0,0.0
1601,VRANKEN AMERICA            ,24154,4,111.96,18.91,0.09521436383547942,27.99,0.35,29.23879132897766,0.0,0.0
1601,VRANKEN AMERICA            ,25264,391,12776.09,4272.32,21.511699148682993,32.675421994884914,0.35,6605.894921767204,0.0,0.0
1601,VRANKEN AMERICA            ,25386,588,29394.12,7085.54,35.67663582923547,49.989999999999995,0.35,10955.717901275746,0.0,0.0
1601,VRANKEN AMERICA            ,26426,39750,1275730.5,61994.8,312.1520593922676,32.09384905660377,0.35,95856.84932214195,0.0,0.0
1601,VRANKEN AMERICA            ,32084,38837,1120072.63,82012.67,412.9446959544742,28.840348894095833,0.35,126808.63799377611,0.0,0.0
1601,VRANKEN AMERICA            ,36463,115,1148.85,1012.6500000000001,5.0988273684821905,9.989999999999998,0.35,1565.767426720742,416.917426720742,3.6253689280064525
1650,Circa Wines                ,6506,106,4825.9400000000005,5380.0199999999995,26.79874342781488,45.52773584905661,0.35,8318.182682196637,3492.2426821966365,32.94568568110034
1650,Circa Wines                ,10259,192,3838.08,644.16,3.208664385348239,19.99,0.35,995.9517913620741,0.0,0.0
1650,Circa Wines                ,13669,773,14969.77,1479.6000000000001,7.370125162321869,19.365808538163,0.35,2287.646346403572,0.0,0.0
1650,Circa Wines                ,14833,112,2013.8799999999999,724.2,3.6073564764487003,17.98107142857143,0.35,1119.7036253483825,0.0,0.0
1650,Circa Wines                ,14834,91,1637.09,743.04,3.701201541370398,17.99,0.35,1148.8326177559545,0.0,0.0
1650,Circa Wines                ,14835,34,491.65999999999997,417.96000000000004,2.081925867020849,14.460588235294116,0.35,646.2183474877244,154.5583474877244,4.545833749638953
1650,Circa Wines                ,14836,48,695.52,245.16,1.2211813225161052,14.49,0.35,379.0479712654094,0.0,0.0
1650,Circa Wines                ,14837,18,260.82,454.56000000000006,2.26423634346109,14.49,0.35,702.8065174514787,441.98651745147873,24.554806525082153
1650,Circa Wines                ,15322,126,3664.74,2549.61,12.700016771497335,29.085238095238093,0.35,3942.015410417688,277.27541041768836,2.200598495378479
1650,Circa Wines                ,15323,8,283.92,595.6800000000001,2.9671777214732975,35.49,0.35,920.9956580330359,637.0756580330358,79.63445725412947
1650,Circa Wines                ,16274,27,391.23,599.4,2.9857076387508297,14.49,0.35,926.747242521155,535.517242521155,19.833971945227965
1650,Circa Wines                ,16349,30,734.6999999999999,763.2,3.801621738229285,24.49,0.35,1180.0024949818912,445.3024949818913,14.843416499396376
1650,Circa Wines                ,18359,432,6259.68,934.08,4.652802454461754,14.49,0.35,1444.2043114684027,0.0,0.0
1650,Circa Wines                ,18360,108,1294.92,289.8,1.4435403298464973,11.99,0.35,448.0669851228407,0.0,0.0
1650,Circa Wines                ,18769,18,260.82,157.76,0.7858278897052567,14.49,0.35,243.9166582918542,0.0,0.0
1650,Circa Wines                ,19252,313,5004.87,979.1999999999999,4.877552418860214,15.99,0.35,1513.9654652597849,0.0,0.0
1650,Circa Wines                ,19253,676,9373.24,1005.6,5.009055057603995,13.865739644970414,0.35,1554.783161627083,0.0,0.0
1650,Circa Wines                ,20088,108,1726.92,376.2,1.8739126020988692,15.99,0.35,581.6521732339983,0.0,0.0
1650,Circa Wines                ,20093,48,1151.52,351.84000000000003,1.752571530894381,23.99,0.35,543.9885715859914,0.0,0.0
1650,Circa Wines                ,20095,12,179.88,102.60000000000001,0.5110670732996917,14.99,0.35,158.63241088199953,0.0,0.0
1650,Circa Wines                ,20124,2,27.98,219.36,1.092667380107411,13.99,0.35,339.15794981554984,311.1779498155498,155.5889749077749
1650,Circa Wines                ,20146,18,305.82,703.2,3.5027521047206935,16.99,0.35,1087.2350032380318,781.4150032380319,43.411944624335106
1650,Circa Wines                ,21486,18,413.82,761.28,3.79205790995701,22.99,0.35,1177.0339352460878,763.2139352460879,42.40077418033822
1650,Circa Wines                ,21487,12,185.88,505.91999999999996,2.5200687497444436,15.49,0.35,782.2154903842221,596.3354903842221,49.694624198685176
1650,Circa Wines                ,21488,140,2446.6,1114.56,5.551802312055597,17.475714285714286,0.35,1723.2489266339314,0.0,0.0
1650,Circa Wines                ,21489,55,1019.4499999999999,687.96,3.426839217809511,18.535454545454545,0.35,1063.6720603350916,44.22206033509167,0.8040374606380304
1650,Circa Wines                ,21491,18,269.82,367.2,1.8290821570725802,14.99,0.35,567.7370494724194,297.91704947241936,16.550947192912187
