VendorNumber,VendorName,Brand,TotalSalesQuantity,TotalSalesDollars,TotalPurchaseDollars,FreightCost
516,BANFI PRODUCTS CORP        ,7375,280,1677.2,381.12,1.9912541026377923
516,BANFI PRODUCTS CORP        ,8232,223743,1905913.57,48834.24,255.14636006821627
516,BANFI PRODUCTS CORP        ,8235,60,563.4,187.2,0.9780719143938778
516,BANFI PRODUCTS CORP        ,8364,85,849.15,395.89,2.0684235587040187
516,BANFI PRODUCTS CORP        ,8366,3854,35910.46,4274.88,22.33514992203045
516,BANFI PRODUCTS CORP        ,8630,29762,235784.88,16464.7,86.0238282527825
516,BANFI PRODUCTS CORP        ,8674,105897,908816.03,23155.92,120.98373399546732
516,BANFI PRODUCTS CORP        ,8678,258153,4012335.47,133201.44,695.9433088719085
516,BANFI PRODUCTS CORP        ,8790,82233,1151233.67,38680.200000000004,202.09410931163504
516,BANFI PRODUCTS CORP        ,8978,56248,899257.52,33655.159999999996,175.8395660813689
516,BANFI PRODUCTS CORP        ,10631,12,125.88,148.8,0.7774417781079543
516,BANFI PRODUCTS CORP        ,10715,17254,247907.46,11260.480000000001,58.83311554804474
516,BANFI PRODUCTS CORP        ,10874,151496,1691267.04,51889.229999999996,271.1078980904072
516,BANFI PRODUCTS CORP        ,11854,32887,421386.13,19491.88,101.84006616846015
516,BANFI PRODUCTS CORP        ,11932,1215,34720.85,6090.57,31.821663780181197
516,BANFI PRODUCTS CORP        ,12140,14502,140557.98,10762.11,56.229260313127654
516,BANFI PRODUCTS CORP        ,12224,1011,11259.89,2818.53,14.726095261092825
516,BANFI PRODUCTS CORP        ,12586,154209,1449117.91,36583.8,191.1409578087754
516,BANFI PRODUCTS CORP        ,13255,365,5714.35,704.8399999999999,3.6826079494731876
516,BANFI PRODUCTS CORP        ,13433,10800,202620.0,9753.03,50.95707651303912
516,BANFI PRODUCTS CORP        ,13505,5779,57857.21,5109.799999999999,26.697392458172203
516,BANFI PRODUCTS CORP        ,13779,12992,131356.08,10611.15,55.44053308985361
516,BANFI PRODUCTS CORP        ,13837,10282,98116.68000000001,6039.42,31.55441816895659
516,BANFI PRODUCTS CORP        ,13993,1257,10043.43,1074.6000000000001,5.614508970126396
516,BANFI PRODUCTS CORP        ,13994,8904,92074.96,7325.4,38.273333342419406
516,BANFI PRODUCTS CORP        ,14279,114628,1027204.72,24361.74,127.28383375943329
516,BANFI PRODUCTS CORP        ,14710,1848,31832.519999999997,7369.8,38.505311937500004
516,BANFI PRODUCTS CORP        ,14711,366,4159.34,729.27,3.8102484241988424
516,BANFI PRODUCTS CORP        ,15036,8,543.92,634.61,3.3156742392815106
516,BANFI PRODUCTS CORP        ,15037,299,19636.01,6627.58,34.627403089735985
516,BANFI PRODUCTS CORP        ,15043,1501,34621.99,4725.0,24.686911300807015
516,BANFI PRODUCTS CORP        ,15300,7,41.93,98.39999999999999,0.5141147242326793
516,BANFI PRODUCTS CORP        ,15482,10648,101991.52,5840.799999999999,30.516679687990177
516,BANFI PRODUCTS CORP        ,15620,20080,201929.2,14967.800000000001,78.20291025782417
516,BANFI PRODUCTS CORP        ,15761,30164,114321.56,4061.1900000000005,21.218674562058084
516,BANFI PRODUCTS CORP        ,16266,6,59.94,34.8,0.18182106100911832
516,BANFI PRODUCTS CORP        ,16708,216,2733.84,390.42,2.0398442137695394
516,BANFI PRODUCTS CORP        ,16829,26460,375962.9,20810.719999999998,108.73066640125512
516,BANFI PRODUCTS CORP        ,16830,15554,204432.46,11792.300000000001,61.61173844074213
516,BANFI PRODUCTS CORP        ,16987,36,244.44,168.48,0.8802647229544901
516,BANFI PRODUCTS CORP        ,17063,884,14402.16,3688.36,19.270733579988267
516,BANFI PRODUCTS CORP        ,17172,3,17.97,4.1,0.021421446843028307
516,BANFI PRODUCTS CORP        ,17202,6650,65696.5,7919.28,41.37620379391639
516,BANFI PRODUCTS CORP        ,17967,46676,671121.24,39827.200000000004,208.0868896845505
516,BANFI PRODUCTS CORP        ,18027,105294,1616841.14,61480.68,321.22076060810576
516,BANFI PRODUCTS CORP        ,18096,10866,346587.33999999997,26991.660000000003,141.0244902183155
516,BANFI PRODUCTS CORP        ,18142,14050,834132.5,48601.2,253.92878592863107
516,BANFI PRODUCTS CORP        ,18152,247793,2454263.87,67238.58,351.30430909041615
516,BANFI PRODUCTS CORP        ,18275,534,7140.66,1182.2400000000002,6.176900320902876
516,BANFI PRODUCTS CORP        ,18299,2784,22244.16,1983.6,10.363800477519744
516,BANFI PRODUCTS CORP        ,18347,108843,1670118.57,92646.84,484.05594103281675
516,BANFI PRODUCTS CORP        ,18575,3779,151143.21,16172.759999999998,84.49851674269621
516,BANFI PRODUCTS CORP        ,18734,3314,30874.86,3931.56,20.541391109799115
516,BANFI PRODUCTS CORP        ,18801,12151,142149.49,14230.019999999999,74.34819926956821
516,BANFI PRODUCTS CORP        ,18807,1,11.99,7.94,0.041484460471620674
516,BANFI PRODUCTS CORP        ,19000,485,5508.15,2024.64,10.578223935675325
516,BANFI PRODUCTS CORP        ,19275,58,637.42,342.71999999999997,1.7906239663518684
516,BANFI PRODUCTS CORP        ,19356,8195,153195.05,8979.25,46.914274772015105
516,BANFI PRODUCTS CORP        ,20030,7234,74801.16,6534.21,34.13956882345951
516,BANFI PRODUCTS CORP        ,21076,9869,96609.31,7787.81,40.68930681429373
516,BANFI PRODUCTS CORP        ,21352,176,14102.24,7840.379999999999,40.96397156076641
516,BANFI PRODUCTS CORP        ,21517,6319,49225.01,2403.5,12.557670118833789
516,BANFI PRODUCTS CORP        ,22077,3731,36839.69,3678.42,19.218799633251756
516,BANFI PRODUCTS CORP        ,22079,105298,954919.9400000001,44523.0,232.6212384858901
516,BANFI PRODUCTS CORP        ,22192,46987,554499.13,14105.730000000001,73.69881594563651
516,BANFI PRODUCTS CORP        ,22194,107036,1239885.64,29493.640000000003,154.09669304083258
516,BANFI PRODUCTS CORP        ,22195,12,107.88,63.96,0.33417457075124163
516,BANFI PRODUCTS CORP        ,22402,15,434.84999999999997,309.28,1.6159085560028768
516,BANFI PRODUCTS CORP        ,22404,13,233.87,217.26,1.1351276929552023
516,BANFI PRODUCTS CORP        ,22789,105,1573.95,82.72,0.4321907519159272
516,BANFI PRODUCTS CORP        ,22840,10,1529.9,1677.1999999999998,8.76293918173831
516,BANFI PRODUCTS CORP        ,22841,3,313.96999999999997,519.44,2.7139405727177133
516,BANFI PRODUCTS CORP        ,22903,29021,259392.79,16783.2,87.68790894046653
516,BANFI PRODUCTS CORP        ,23079,216,4101.84,1207.2,6.307309909488725
516,BANFI PRODUCTS CORP        ,23172,252,7731.48,3569.9999999999995,18.652332982831965
516,BANFI PRODUCTS CORP        ,23200,64,728.36,483.00000000000006,2.523550932971384
516,BANFI PRODUCTS CORP        ,23518,9,79.10999999999999,137.04,0.7159987988703901
516,BANFI PRODUCTS CORP        ,23712,95984,997936.16,44852.799999999996,234.34435877097073
516,BANFI PRODUCTS CORP        ,23870,24010,222689.9,13545.84,70.77353451321136
516,BANFI PRODUCTS CORP        ,24672,2049,28429.510000000002,2674.35,13.97279179625677
516,BANFI PRODUCTS CORP        ,24673,16513,231151.87,15330.560000000001,80.09823807655026
516,BANFI PRODUCTS CORP        ,24715,44,2655.56,473.64,2.4746473372516897
516,BANFI PRODUCTS CORP        ,24873,7,55.93,113.81,0.5946280159036712
516,BANFI PRODUCTS CORP        ,25268,78,1013.22,793.36,4.145102211557302
516,BANFI PRODUCTS CORP        ,25270,278,1053.62,464.94,2.42919207199941
516,BANFI PRODUCTS CORP        ,25751,6,59.94,40.8,0.21316951980379387
516,BANFI PRODUCTS CORP        ,25984,16957,158497.43,14182.56,74.10023296050232
516,BANFI PRODUCTS CORP        ,25985,10349,103724.51,9224.1,48.19355312799449
516,BANFI PRODUCTS CORP        ,26066,9179,85310.21,18289.920000000002,95.56013391298545
516,BANFI PRODUCTS CORP        ,26069,288,4605.12,762.48,3.983762143627372
516,BANFI PRODUCTS CORP        ,26351,6,71.94,46.44,0.2426370710707889
516,BANFI PRODUCTS CORP        ,28238,4568,41668.32,4855.200000000001,25.36717285665148
516,BANFI PRODUCTS CORP        ,29650,6220,58934.8,4271.76,22.318848723457222
516,BANFI PRODUCTS CORP        ,31200,24438,475105.62,30202.809999999998,157.8019241280692
516,BANFI PRODUCTS CORP        ,31346,4104,45102.96,6724.52,35.133889688995296
516,BANFI PRODUCTS CORP        ,31347,7784,85546.16,9053.93,47.30445858914617
516,BANFI PRODUCTS CORP        ,34635,25034,216475.66,6014.7300000000005,31.425419261016504
516,BANFI PRODUCTS CORP        ,34893,24,247.76,278.4,1.4545684880729466
516,BANFI PRODUCTS CORP        ,37433,117089,1065588.59,41320.8,215.89056602717173
516,BANFI PRODUCTS CORP        ,37735,19227,222750.73,13052.76,68.19731816946492
516,BANFI PRODUCTS CORP        ,37921,1,21.99,14.47,0.0756020331264926
516,BANFI PRODUCTS CORP        ,37923,2104,25063.96,4844.36,25.31053664109576
516,BANFI PRODUCTS CORP        ,37924,2,25.98,206.39999999999998,1.0783869825368395
516,BANFI PRODUCTS CORP        ,37926,54712,662210.88,25244.800000000003,131.897595429971
516,BANFI PRODUCTS CORP        ,40666,12,119.88,82.67999999999999,0.43198176219062934
516,BANFI PRODUCTS CORP        ,40667,28333,341834.67,16262.599999999999,84.96790766571515
516,BANFI PRODUCTS CORP        ,41827,20993,279141.07,20856.96,108.97225852369944
516,BANFI PRODUCTS CORP        ,43798,33053,349161.97000000003,20923.800000000003,109.32148035467213
516,BANFI PRODUCTS CORP        ,43799,24,186.96,61.08,0.3191273105297973
516,BANFI PRODUCTS CORP        ,43801,20188,193273.62,8211.039999999999,42.90057485023881
516,BANFI PRODUCTS CORP        ,43803,1053,4727.97,1010.6,5.280125409649856
516,BANFI PRODUCTS CORP        ,43819,30,273.7,208.79999999999998,1.0909263660547097
516,BANFI PRODUCTS CORP        ,43820,8671,80098.29,8202.6,42.856478018200974
516,BANFI PRODUCTS CORP        ,43821,16,163.84,128.64000000000001,0.6721109565578443
516,BANFI PRODUCTS CORP        ,45524,5653,56743.47,5046.0,26.364053846322157
516,BANFI PRODUCTS CORP        ,45525,9705,96565.95,7913.49,41.34595253117953
516,BANFI PRODUCTS CORP        ,45526,7495,74948.05,6669.950000000001,34.84877545625773
653,STATE WINE & SPIRITS   ,313,651,14315.49,2390.6499999999996,12.526140358554512
653,STATE WINE & SPIRITS   ,324,3,65.97,48.87,0.2560611044371025
653,STATE WINE & SPIRITS   ,463,19578,656790.22,53742.659999999996,281.5920784732493
653,STATE WINE & SPIRITS   ,689,10706,127187.94,11911.25,62.410637000745595
653,STATE WINE & SPIRITS   ,892,30948,1056016.52,73295.67,384.0427708339963
653,STATE WINE & SPIRITS   ,950,8,639.92,294.1,1.5409775079793708
653,STATE WINE & SPIRITS   ,1120,48,767.52,299.76,1.5706338585239583
653,STATE WINE & SPIRITS   ,2000,13,207.87,105.03,0.5503191692046016
653,STATE WINE & SPIRITS   ,2002,4,119.96,86.92,0.45542932673773173
653,STATE WINE & SPIRITS   ,2004,14,419.85999999999996,220.5,1.1553401581416227
653,STATE WINE & SPIRITS   ,2048,6014,180359.86,22143.37,116.02324080538985
653,STATE WINE & SPIRITS   ,2059,3431,104185.69,19432.559999999998,101.81957797504113
653,STATE WINE & SPIRITS   ,2085,21844,307863.56,35531.2,186.17062234449716
653,STATE WINE & SPIRITS   ,2087,534,14755.66,2895.7,15.172419482678896
653,STATE WINE & SPIRITS   ,2446,238,8877.62,7551.000000000001,39.564505823707
653,STATE WINE & SPIRITS   ,2616,24,529.76,358.79999999999995,1.8799820804590213
653,STATE WINE & SPIRITS   ,2719,27,539.7299999999999,201.5,1.0557870379389434
653,STATE WINE & SPIRITS   ,2809,60,1199.3999999999999,220.5,1.1553401581416227
653,STATE WINE & SPIRITS   ,2810,8205,459397.95,50344.74,263.7882080417183
653,STATE WINE & SPIRITS   ,2813,119,2378.81,710.01,3.720195309216025
653,STATE WINE & SPIRITS   ,2910,248,4957.5199999999995,926.0999999999999,4.852428664194815
653,STATE WINE & SPIRITS   ,2921,55,1099.4499999999998,313.32,1.6416833485212392
653,STATE WINE & SPIRITS   ,2931,4,107.96,38.56,0.20204043763238538
