VendorNumber,VendorName,UpsideTotal,BrandsNeedingAction,BrandCount,TotalSalesDollars,TotalPurchaseDollars,PurchaseShare,CurrentMargin,StockTurnover,BrandTurnoverMedian,ActionScore
388,ATLANTIC IMPORTING COMPANY ,0.0,0,3,391003.2,41116.32,0.00012789092527538316,89.43025018721075,7.244179750947483,2.5384615384615383,0.23024193548387092
7240,"PREMIUM PORT WINES, INC.   ",0.0,0,2,900372.1799999999,59760.74,0.00018588376425082796,93.32920970525767,10.527978449859189,9.272795466364279,0.22822580645161292
7154,PREMIER DISTRIBUTORS       ,0.0,0,7,1582029.3199999998,84530.87,0.0002629304173776527,94.62947753711668,12.773495605138606,5.995943204868154,0.22822580645161292
60,ADAMBA IMPORTS INTL INC    ,0.0,0,2,1353669.5099999998,76703.65000000001,0.00023858411381415327,94.30652381556972,16.832204824375793,10.227927218219516,0.22580645161290322
90053,INCREDIBREW INC            ,0.0,0,4,215229.13,24525.84,7.628679732904122e-05,88.54695923363161,5.881909547738694,4.605556652191078,0.22298387096774197
90033,FANTASY FINE WINES CORP    ,0.0,0,1,303.62,128.64000000000001,4.001303771209411e-07,57.43034055727553,1.5833333333333333,1.5833333333333333,0.22298387096774192
9751,VINEDREA WINES LLC         ,0.0,0,1,22266.449999999997,4657.599999999999,1.4487307559689793e-05,78.97226544869075,4.170731707317073,4.170731707317073,0.22096774193548388
1265,BLACK ROCK SPIRITS LLC     ,0.0,0,1,4848.0599999999995,1152.1000000000001,3.583568155169747e-06,76.11642595182403,2.3658536585365852,2.3658536585365852,0.2157258064516129
8920,TAKARA SAKE USA INC        ,0.0,0,3,1212939.17,45289.34,0.0001408709631044661,96.24694039685436,17.987315243767924,20.683399523431294,0.19879032258064516
201359,FLAVOR ESSENCE INC         ,0.0,0,1,174.92999999999998,17.0,5.287792608097014e-08,90.23037786543189,7.0,7.0,0.17056451612903226
